filename, language, TypeScript, CSS, JSON, HTML, SCSS, comment, blank, total
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\devicemodel\devicemodel-list\devicemodel-list.component.html, HTML, 0, 0, 0, 76, 0, 0, 9, 85
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\devicemodel\devicemodel-list\devicemodel-list.component.ts, TypeScript, 74, 0, 0, 0, 0, 1, 11, 86
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\devicemodel\devicemodel.component.html, HTML, 0, 0, 0, 1, 0, 0, 0, 1
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\devicemodel\devicemodel.component.ts, TypeScript, 11, 0, 0, 0, 0, 0, 5, 16
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\devices-groups.component.html, HTML, 0, 0, 0, 1, 0, 0, 1, 2
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\devices-groups.component.ts, TypeScript, 11, 0, 0, 0, 0, 0, 5, 16
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturer\manufacturer-cu\manufacturer-cu.component.html, HTML, 0, 0, 0, 30, 0, 1, 10, 41
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturer\manufacturer-cu\manufacturer-cu.component.ts, TypeScript, 46, 0, 0, 0, 0, 0, 8, 54
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturer\manufacturer-list\manufacturer-list.component.html, HTML, 0, 0, 0, 68, 0, 0, 7, 75
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturer\manufacturer-list\manufacturer-list.component.ts, TypeScript, 74, 0, 0, 0, 0, 1, 11, 86
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturer\manufacturer.component.html, HTML, 0, 0, 0, 1, 0, 0, 0, 1
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturer\manufacturer.component.ts, TypeScript, 11, 0, 0, 0, 0, 0, 5, 16
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturercategory\manufacturercategory-cu\manufacturercategory-cu.component.html, HTML, 0, 0, 0, 40, 0, 1, 9, 50
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturercategory\manufacturercategory-cu\manufacturercategory-cu.component.ts, TypeScript, 68, 0, 0, 0, 0, 0, 10, 78
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturercategory\manufacturercategory-list\manufacturercategory-list.component.html, HTML, 0, 0, 0, 72, 0, 0, 8, 80
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturercategory\manufacturercategory-list\manufacturercategory-list.component.ts, TypeScript, 74, 0, 0, 0, 0, 1, 11, 86
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturercategory\manufacturercategory.component.html, HTML, 0, 0, 0, 1, 0, 0, 0, 1
c:\Dev\mobilecontrol\src\FrontEnd\src\app\devices-groups\manufacturercategory\manufacturercategory.component.ts, TypeScript, 11, 0, 0, 0, 0, 0, 5, 16
c:\Dev\mobilecontrol\src\FrontEnd\src\app\employee\employee-cu\employee-cu.component.html, HTML, 0, 0, 0, 213, 0, 0, 35, 248
c:\Dev\mobilecontrol\src\FrontEnd\src\app\employee\employee-cu\employee-cu.component.ts, TypeScript, 92, 0, 0, 0, 0, 0, 9, 101
c:\Dev\mobilecontrol\src\FrontEnd\src\app\employee\employee-list\employee-list.component.html, HTML, 0, 0, 0, 75, 0, 0, 8, 83
c:\Dev\mobilecontrol\src\FrontEnd\src\app\employee\employee-list\employee-list.component.ts, TypeScript, 81, 0, 0, 0, 0, 1, 12, 94
c:\Dev\mobilecontrol\src\FrontEnd\src\app\employee\employee.component.html, HTML, 0, 0, 0, 1, 0, 1, 1, 3
c:\Dev\mobilecontrol\src\FrontEnd\src\app\employee\employee.component.ts, TypeScript, 11, 0, 0, 0, 0, 1, 5, 17
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipment\equipment-cu\equipment-cu.component.html, HTML, 0, 0, 0, 32, 0, 1, 4, 37
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipment\equipment-cu\equipment-cu.component.ts, TypeScript, 24, 0, 0, 0, 0, 0, 7, 31
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipment\equipment-list\equipment-list.component.html, HTML, 0, 0, 0, 55, 0, 0, 4, 59
